Number Of Loans,Average Principal,Past One Month,Past Three Months,Average Over Due Days,Low/High Risk
1,25000.0,0.0,0.0,0.0,0
24,33958.33,0.0,0.0,0.0,0
102,68529.41,0.0,0.0,0.0,0
27,37777.78,0.0,0.0,0.0,0
14,24464.29,0.0,0.0,0.0,0
25,31920.0,0.0,0.0,0.0,0
41,30365.85,0.0,0.0,0.0,0
7,17857.14,0.0,0.0,0.0,0
15,34666.67,0.0,0.0,0.0,0
59,43111.86,0.0,0.0,0.0,0
17,37352.94,0.0,0.0,0.0,0
97,58061.86,3.3,7.66,4.19,1
106,60141.51,0.0,0.0,0.0,0
45,74800.0,0.0,0.0,0.0,0
22,33181.82,0.0,0.0,0.0,0
116,43310.34,0.0,0.0,0.0,0
32,18562.5,0.0,0.0,0.0,0
43,46395.35,0.0,0.0,0.0,0
223,46383.41,0.13,0.13,0.0,0
110,66454.55,0.0,0.06,0.0,0
13,26538.46,0.0,0.0,0.0,0
21,37142.86,0.0,0.0,0.0,0
33,45606.06,0.0,0.0,0.0,0
18,35833.33,0.0,0.0,0.0,0
177,50254.24,0.0,0.05,0.0,0
5,29000.0,0.0,0.0,0.0,0
19,33157.89,0.0,0.0,0.0,0
78,88391.03,0.0,0.22,0.38,0
47,36489.36,0.0,0.0,0.0,0
24,42708.33,0.0,0.0,0.0,0
10,8000.0,0.0,0.0,0.0,0
32,47625.0,0.0,0.0,0.0,0
3,31666.67,0.0,0.0,0.0,0
37,64189.19,0.11,1.27,0.0,0
37,60000.0,0.11,0.11,0.0,0
17,32941.18,0.0,0.0,0.0,0
56,36928.57,0.0,0.0,0.0,0
49,51693.88,0.0,0.02,0.0,0
45,29088.89,0.0,0.0,0.0,0
25,24000.0,0.0,0.0,0.0,0
18,34166.67,0.0,0.0,0.0,0
83,52807.23,0.0,0.34,0.0,0
20,24500.0,0.0,0.0,0.0,0
9,28888.89,0.0,0.0,0.0,0
5,33000.0,0.0,0.0,0.0,0
75,37853.33,0.0,0.03,0.0,0
7,35000.0,0.0,0.0,0.0,0
36,31111.11,0.0,0.0,0.0,0
21,30714.29,0.0,0.0,0.0,0
13,19384.62,0.0,0.0,0.0,0
69,53782.61,0.0,0.0,0.0,0
112,56017.86,0.0,0.02,0.0,0
11,23181.82,0.0,0.0,0.0,0
32,38875.0,0.0,0.0,0.0,0
13,25000.0,0.0,0.0,0.0,0
88,47568.18,0.0,0.02,0.0,0
46,31021.74,0.0,0.0,0.0,0
34,56470.59,0.0,0.0,0.0,0
103,40000.0,0.0,0.17,0.0,0
22,16818.18,0.0,0.0,0.0,0
13,35000.0,0.0,0.0,0.0,0
2,22500.0,0.0,0.0,0.0,0
81,57123.46,0.07,0.23,0.0,0
8,30625.0,0.0,0.0,0.0,0
8,33125.0,0.0,0.0,0.0,0
22,34090.91,0.0,0.0,0.0,0
106,41235.85,0.05,0.05,0.0,0
41,56097.56,0.0,0.0,0.0,0
15,34000.0,0.0,0.0,0.0,0
30,31333.33,0.0,0.0,0.0,0
15,30666.67,0.0,0.0,0.0,0
41,32731.71,0.0,0.0,0.0,0
14,20000.0,0.0,0.0,0.0,0
15,31566.67,0.0,0.0,0.0,0
11,23636.36,0.0,0.0,0.0,0
41,35439.02,0.0,0.0,0.0,0
34,48588.24,0.0,0.0,0.0,0
146,38541.1,0.03,0.82,0.0,0
178,30238.76,0.03,0.06,0.0,0
12,16666.67,0.0,0.0,0.0,0
22,30227.27,0.0,0.0,0.0,0
17,33529.41,0.0,0.0,0.0,0
9,31111.11,0.0,0.0,0.0,0
13,31153.85,0.0,0.0,0.0,0
33,43636.36,0.0,0.0,0.0,0
43,51162.79,11.3,29.67,0.0,0
134,53298.51,0.0,0.05,0.0,0
22,17454.55,0.0,0.0,0.0,0
24,25625.0,0.0,0.0,0.0,0
12,22916.67,0.0,0.0,0.0,0
29,31482.76,0.0,0.0,0.0,0
31,33129.03,0.0,0.0,0.0,0
14,30714.29,0.0,0.0,0.0,0
8,20000.0,0.0,0.0,0.0,0
9,27222.22,0.0,0.0,0.0,0
23,33260.87,0.0,0.0,0.0,0
14,31785.71,0.0,0.0,0.0,0
46,60760.87,1.91,3.76,2.59,1
15,23000.0,0.0,0.0,0.0,0
16,16562.5,0.0,0.0,0.0,0
18,29166.67,0.0,0.0,0.0,0
50,27160.0,0.0,0.0,0.0,0
9,27222.22,0.0,0.0,0.0,0
34,41073.53,0.0,0.0,0.0,0
14,30000.0,0.0,0.0,0.0,0
19,17368.42,0.0,0.0,0.0,0
22,23636.36,0.0,0.0,0.0,0
12,23333.33,0.0,0.0,0.0,0
36,18444.44,0.0,0.0,0.0,0
22,18863.64,0.0,0.0,0.0,0
12,31250.0,0.0,0.0,0.0,0
13,27076.92,0.0,0.0,0.0,0
22,35000.0,0.0,0.0,0.0,0
8,26250.0,0.0,0.0,0.0,0
20,47500.0,0.0,0.0,0.0,0
46,67717.39,0.0,4.07,0.0,0
10,23500.0,0.0,0.0,0.0,0
50,63900.0,16.5,47.68,17.12,1
165,43145.45,0.0,0.08,0.0,0
41,24390.24,0.0,0.0,0.0,0
41,50487.8,0.44,0.73,1.2,0
14,20571.43,0.0,0.0,0.0,0
12,11250.0,0.0,0.0,0.0,0
43,67604.65,0.0,0.0,0.0,0
10,23000.0,0.0,0.0,0.0,0
44,46431.82,0.0,0.0,0.0,0
32,42437.5,0.0,0.0,0.0,0
33,38484.85,0.0,0.0,0.0,0
35,41428.57,0.0,0.0,0.0,0
34,47205.88,0.0,0.0,0.0,0
24,22500.0,0.0,0.0,0.0,0
19,32894.74,0.0,0.0,0.0,0
10,29500.0,0.0,0.0,0.0,0
11,20545.45,0.0,0.0,0.0,0
76,46776.32,0.0,0.01,0.0,0
28,21571.43,0.0,0.0,0.0,0
20,21150.0,0.0,0.0,0.0,0
59,54457.63,0.0,0.12,0.0,0
17,41470.59,0.0,0.0,0.0,0
35,50000.0,0.0,0.0,0.0,0
16,33437.5,0.0,0.0,0.0,0
10,35000.0,0.0,0.0,0.0,0
11,19636.36,0.0,0.0,0.0,0
8,20000.0,0.0,0.0,0.0,0
170,28576.47,1.09,12.35,1.44,0
5,31000.0,0.0,0.0,0.0,0
22,23681.82,0.0,0.0,0.0,0
67,39955.22,0.0,0.0,0.0,0
11,33636.36,0.0,0.0,0.0,0
17,34117.65,0.0,0.0,0.0,0
49,64061.22,0.0,0.04,0.0,0
8,25000.0,0.0,0.0,0.0,0
62,64354.84,2.06,4.81,0.0,0
10,30000.0,0.0,0.0,0.0,0
47,27531.91,0.0,0.0,0.0,0
7,24285.71,0.0,0.0,0.0,0
16,27812.5,0.0,0.0,0.0,0
37,19594.59,0.0,0.0,0.0,0
21,40666.67,0.0,0.0,0.0,0
11,34090.91,0.0,0.0,0.0,0
8,5000.0,0.0,0.0,0.0,0
20,13700.0,0.0,0.0,0.0,0
19,14473.68,0.0,0.0,0.0,0
10,22000.0,0.0,0.0,0.0,0
15,25666.67,0.0,0.0,0.0,0
28,11964.29,0.0,0.0,0.0,0
15,13133.33,0.0,0.0,0.0,0
53,57754.72,3.28,5.15,0.0,0
39,69871.79,0.0,0.0,0.0,0
75,40600.0,0.0,0.16,0.0,0
19,24210.53,0.0,0.0,0.0,0
76,37355.26,0.0,0.0,0.0,0
16,16875.0,0.0,0.0,0.0,0
17,16176.47,0.0,0.0,0.0,0
18,15055.56,0.0,0.0,0.0,0
39,27307.69,0.0,0.0,0.0,0
11,23909.09,0.0,0.0,0.0,0
59,46627.12,0.1,0.1,0.41,0
38,69921.05,0.0,6.45,0.0,0
27,45111.11,0.0,0.0,0.0,0
14,32500.0,0.0,0.0,0.0,0
3,31666.67,0.0,0.0,0.0,0
55,48181.82,0.0,0.0,0.0,0
74,45229.73,0.08,0.09,0.0,0
18,28388.89,0.0,0.0,0.0,0
49,29387.76,8.55,23.8,9.18,1
51,35392.16,0.0,0.04,0.0,0
48,50416.67,6.85,19.54,7.5,1
14,32857.14,0.0,0.0,0.0,0
10,28900.0,0.0,0.0,0.0,0
5,21200.0,0.0,0.0,0.0,0
3,30000.0,0.0,0.0,0.0,0
22,23590.91,0.0,0.0,0.0,0
7,20714.29,0.0,0.0,0.0,0
18,26944.44,37.33,101.89,0.0,0
39,27487.18,0.0,0.0,0.0,0
77,56948.05,0.0,0.03,0.0,0
17,30882.35,0.0,0.0,0.0,0
5,20600.0,0.0,0.0,0.0,0
38,32631.58,0.0,0.0,0.0,0
11,33636.36,0.0,0.0,0.0,0
32,62031.25,0.0,0.0,0.0,0
19,18421.05,0.0,0.0,0.0,0
51,47333.33,0.0,0.0,0.0,0
10,21500.0,0.0,0.0,0.0,0
51,53509.8,0.0,0.0,0.0,0
35,33857.14,0.0,0.0,0.0,0
52,109807.69,0.0,0.0,0.0,0
16,15625.0,0.0,0.0,0.0,0
9,25555.56,0.0,0.0,0.0,0
59,41661.02,0.0,0.0,0.0,0
17,25205.88,0.0,0.0,0.0,0
26,36769.23,0.0,0.0,0.0,0
26,33423.08,0.0,0.0,0.0,0
